"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","geneSymbol"
"FBgn0000003",0.103876233166007,0.0067967778541268,0.0303645839326116,0.223838991807395,0.822882588582645,NA,"FBgn0000003","7SLRNA:CR32864"
"FBgn0000008",1564.51451794987,-0.0419818515807138,0.057333259703451,-0.732242537714751,0.464020545154678,1,"FBgn0000008","a"
"FBgn0000014",0.416401897264462,0.0780898299337019,0.0563153553177604,1.38665253007956,0.16554774207159,NA,"FBgn0000014","abd-A"
"FBgn0000015",1.23010901880591,-0.116483024535831,0.0963277517635246,-1.2092364080269,0.226572034010141,1,"FBgn0000015","Abd-B"
"FBgn0000017",9581.81949016144,0.0618061841926742,0.0627723041209787,0.984609137073533,0.324816099801072,1,"FBgn0000017","Abl"
"FBgn0000018",275.051513737868,0.0303526005197159,0.0602997916761488,0.503361614957646,0.614710053902538,1,"FBgn0000018","abo"
"FBgn0000022",0,NA,NA,NA,NA,NA,"FBgn0000022","ac"
"FBgn0000024",25611.6021826937,-0.0274377218072629,0.0677434681470434,-0.405023872526084,0.685459963303477,1,"FBgn0000024","Ace"
"FBgn0000028",1068.74444417301,0.0548043047574551,0.0704576245289324,0.777833557742932,0.436667141909532,1,"FBgn0000028","acj6"
"FBgn0000032",644.916280571235,-0.00445168979672896,0.0423254455775962,-0.105177623908709,0.916234865762008,1,"FBgn0000032","Acph-1"
"FBgn0000036",5658.40383253448,-0.0429788626752886,0.0925189557808205,-0.464541156053539,0.642260080174145,1,"FBgn0000036","nAChRalpha1"
"FBgn0000037",8943.38481816779,0.114424316278007,0.0464213686838156,2.46490613099696,0.013704915010259,1,"FBgn0000037","mAChR-A"
"FBgn0000038",32278.5783420654,0.112942063121984,0.0545453167208686,2.07060972255338,0.0383952828421343,1,"FBgn0000038","nAChRbeta1"
"FBgn0000039",4377.85766881452,0.00717747705180636,0.0477184901525269,0.150412911826513,0.880438854995052,1,"FBgn0000039","nAChRalpha2"
"FBgn0000042",34150.7906628887,0.0474464198267922,0.0546002275743222,0.86897842618344,0.384858930986406,1,"FBgn0000042","Act5C"
"FBgn0000043",1089.14135053304,-0.10417827837221,0.0417078534082865,-2.49780964156531,0.0124963277333429,1,"FBgn0000043","Act42A"
"FBgn0000044",433.609950853465,0.0285381114092238,0.151039541731185,0.188944637160082,0.850136208221372,1,"FBgn0000044","Act57B"
"FBgn0000045",1259.82282817263,0.273963067310775,0.0802175566788215,3.41525070886514,0.0006372332968593,1,"FBgn0000045","Act79B"
"FBgn0000046",72.0731517375076,-0.0955940046656246,0.148567308477801,-0.643439028714103,0.519939265531616,1,"FBgn0000046","Act87E"
"FBgn0000047",4.87647289196464,-0.074500036521206,0.139721164997495,-0.533205091172419,0.593891617640954,1,"FBgn0000047","Act88F"
"FBgn0000052",613.731280637352,-0.289764699960746,0.0721465209497561,-4.01633642407432,5.91098582868096e-05,0.728706332959789,"FBgn0000052","ade2"
"FBgn0000053",635.312757717371,0.415926147860083,0.0726503572720092,5.72503926309433,1.03409822092757e-08,0.000127483628675951,"FBgn0000053","ade3"
"FBgn0000055",24.8894572454895,-0.328142069615403,0.137429641206267,-2.38770957076791,0.0169537335933694,1,"FBgn0000055","Adh"
"FBgn0000056",0,NA,NA,NA,NA,NA,"FBgn0000056","Adhr"
"FBgn0000057",1006.09105708682,-0.00555449009485132,0.0482467541919572,-0.115126710343082,0.908344688869751,1,"FBgn0000057","adp"
"FBgn0000061",0.842130719522731,0.0494510031808168,0.0912377036671955,0.542001839077377,0.587817238961445,1,"FBgn0000061","al"
"FBgn0000063",211.398662071711,-0.0959080318050229,0.0695054372302903,-1.37986372903826,0.167628606137461,1,"FBgn0000063","ald"
"FBgn0000064",21436.1227103955,0.012939184547589,0.050541105097732,0.256013091177335,0.797940728806427,1,"FBgn0000064","Ald"
"FBgn0000071",18.3646337106847,-0.235878424555017,0.151495363248729,-1.55700095037065,0.119470259773375,1,"FBgn0000071","Ama"
"FBgn0000075",67.913647341835,-0.106703493485273,0.108912912903227,-0.979713889206903,0.327227368173088,1,"FBgn0000075","amd"
"FBgn0000077",371.684041272614,-0.0802839378123946,0.0569705766373611,-1.4092175742477,0.158770842705072,1,"FBgn0000077","amx"
"FBgn0000078",106.858173972808,0.118620873647357,0.148488925295318,0.798853338129026,0.424375458347007,1,"FBgn0000078","Amy-d"
"FBgn0000079",99.8873549627682,-0.267880785968136,0.145817079224035,-1.83710157543727,0.0661949016498141,1,"FBgn0000079","Amy-p"
"FBgn0000083",4157.80596158781,-0.176553893180926,0.0467512475981947,-3.77645308416847,0.000159077506658106,1,"FBgn0000083","AnxB9"
"FBgn0000084",2745.00331035928,-0.0858339641755444,0.071460733739553,-1.20113466072678,0.229698969828168,1,"FBgn0000084","AnxB10"
"FBgn0000092",64.736553571708,0.0755479000726012,0.125118871154245,0.603808996801663,0.545970637270912,1,"FBgn0000092","CG2650"
"FBgn0000094",0.468192808818872,0.0668602848566555,0.0668783260079796,0.999730239191064,0.31744107390811,NA,"FBgn0000094","Anp"
"FBgn0000097",1551.90112527022,-0.00417333482573888,0.0644343454374261,-0.0647687936830477,0.948358088294431,1,"FBgn0000097","aop"
"FBgn0000100",17540.5732202367,-0.0698791395112096,0.052838933877384,-1.32249336584588,0.186003917039989,1,"FBgn0000100","RpLP0"
